Symbol,Price,Type,Strike,"""Exp Date""",DTE,Bid,Midpoint,Ask,Last,Volume,"""Open Int""",Vol/OI,IV,Time,Delta,Gamma,Theta,Vega
AAPL,273.25,Call,267.50,04/24/20,11,10.75,11.03,11.30,11.17,2802,712,3.94,42.18%,04/13/20,0.6281870247797009,0.018900191195944792,-125.53640684665739,17.938781287154608
AAPL,273.25,Call,275.00,04/24/20,11,6.55,6.68,6.80,6.70,3997,1084,3.69,39.46%,04/13/20,0.4764992191028191,0.021275927614920646,-123.67815886686249,18.891469739225954
AAPL,273.25,Call,287.50,04/24/20,11,1.76,1.85,1.93,1.88,990,299,3.31,34.55%,04/13/20,0.206800836700548,0.017426314337499003,-77.65903552973792,13.54795536866748
AAPL,273.25,Call,262.50,04/24/20,11,14.30,14.65,15.00,14.55,913,304,3,42.99%,04/13/20,0.7173918535118962,0.016580992975106113,-114.4025674523607,16.039770217042737
AAPL,273.25,Call,277.50,04/24/20,11,5.30,5.43,5.55,5.40,872,318,2.74,38.19%,04/13/20,0.42087873591466607,0.021587142590016213,-117.53976619923128,18.55089983667164
AAPL,273.25,Call,272.50,04/24/20,11,7.70,7.95,8.20,8.00,1280,514,2.49,40.02%,04/13/20,0.5296136430727114,0.02095676210426974,-125.30508562494286,18.872152168770015
AAPL,273.25,Call,282.50,04/24/20,11,3.15,3.3,3.45,3.35,970,400,2.43,36.32%,04/13/20,0.3097787788671939,0.02047055141756592,-100.81184586259872,16.729984679388476
AAPL,273.25,Call,270.00,04/24/20,11,9.35,9.52,9.70,9.55,6540,2756,2.37,41.23%,04/13/20,0.5804155164644362,0.01998214272457097,-126.8116261873869,18.538541068463328
AAPL,273.25,Call,285.00,04/24/20,11,2.37,2.51,2.65,2.53,3299,1397,2.36,35.33%,04/13/20,0.25598128579933543,0.019198679586712255,-89.46413784218593,15.26283326699022
AAPL,273.25,Call,260.00,04/24/20,11,16.25,16.53,16.80,15.80,1747,807,2.16,39.25%,04/13/20,0.7774327053896184,0.016008886757380065,-92.07268333991045,14.13907361296941
AAPL,273.25,Call,265.00,04/24/20,11,12.45,12.77,13.10,12.83,1706,834,2.05,42.73%,04/13/20,0.6737803471512938,0.017783664279340684,-121.22086602151073,17.09914148715404
AAPL,273.25,Call,295.00,04/24/20,11,0.65,0.71,0.76,0.71,1339,706,1.9,33.19%,04/13/20,0.09672586628770469,0.010878473309398062,-44.73761223405444,8.124476089507054
AAPL,273.25,Call,280.00,04/24/20,11,4.20,4.28,4.35,4.30,5854,3129,1.87,37.24%,04/13/20,0.3649950871358898,0.021277646582404157,-110.16237269765936,17.830085482898827
AAPL,273.25,Call,290.00,04/24/20,11,1.25,1.34,1.43,1.38,2357,1359,1.73,33.99%,04/13/20,0.1638512219222385,0.01532608943966699,-66.10343540525061,11.72202605049441
